exam_name,section_title,case_study_title,visit_title,question_text,question_type,max_question_points,option_1,option_2,option_3,option_4,correct_option,tag_1_category,tag_1_area,tag_2_category,tag_2_area
"Empty Exam for CSV Import (11 Sections)","Section 1: Foundations of Counseling","Clinical Case Study 1","Session 1","Master Question 1: [Topic: Foundations of Counseling] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",4,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Social and Cultural Diversity"
"Empty Exam for CSV Import (11 Sections)","Section 2: Clinical Assessment","Clinical Case Study 2","Session 1","Master Question 2: [Topic: Clinical Assessment] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",1,"Counselor Work Behavior Areas (Domains)","Treatment Planning Counseling Skills","CACREP Areas","Social and Cultural Diversity"
"Empty Exam for CSV Import (11 Sections)","Section 3: DSM-5 Diagnosis","Clinical Case Study 3","Session 1","Master Question 3: [Topic: DSM-5 Diagnosis] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",3,"Counselor Work Behavior Areas (Domains)","Intake, Assessment and Diagnosis","CACREP Areas","Social and Cultural Diversity"
"Empty Exam for CSV Import (11 Sections)","Section 4: Treatment Planning","Clinical Case Study 4","Session 1","Master Question 4: [Topic: Treatment Planning] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",2,"Counselor Work Behavior Areas (Domains)","Treatment Planning Counseling Skills","CACREP Areas","Assessment and Testing"
"Empty Exam for CSV Import (11 Sections)","Section 5: Cognitive Interventions","Clinical Case Study 5","Session 1","Master Question 5: [Topic: Cognitive Interventions] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",1,"Counselor Work Behavior Areas (Domains)","Intake, Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Empty Exam for CSV Import (11 Sections)","Section 6: Ethical Standards","Clinical Case Study 6","Session 1","Master Question 6: [Topic: Ethical Standards] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",1,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Group Counseling and Group Work"
"Empty Exam for CSV Import (11 Sections)","Section 7: Multicultural Issues","Clinical Case Study 7","Session 1","Master Question 7: [Topic: Multicultural Issues] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",3,"Counselor Work Behavior Areas (Domains)","Counseling Skills and Interventions","CACREP Areas","Social and Cultural Diversity"
"Empty Exam for CSV Import (11 Sections)","Section 8: Lifespan Development","Clinical Case Study 8","Session 1","Master Question 8: [Topic: Lifespan Development] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",4,"Counselor Work Behavior Areas (Domains)","Intake, Assessment and Diagnosis","CACREP Areas","Group Counseling and Group Work"
"Empty Exam for CSV Import (11 Sections)","Section 9: Research and Evaluation","Clinical Case Study 9","Session 1","Master Question 9: [Topic: Research and Evaluation] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",3,"Counselor Work Behavior Areas (Domains)","Treatment Planning Counseling Skills","CACREP Areas","Human Growth and Development"
"Empty Exam for CSV Import (11 Sections)","Section 10: Group Process","Clinical Case Study 10","Session 1","Master Question 10: [Topic: Group Process] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",4,"Counselor Work Behavior Areas (Domains)","Counseling Skills and Interventions","CACREP Areas","Group Counseling and Group Work"
