exam_name,section_title,case_study_title,visit_title,visit_content,question_text,max_point,option_1,option_2,option_3,option_4,correct_option,score_category_1,content_area_1,score_category_2,content_area_2
Seed Exam (11 Sections),Section 1: Foundations,Case Study for Section 1,Visit 1,Content for Section 1 Visit 1,What is the foundational concept in this visit?,1,Option A,Option B,Option C,Option D,A,Counselor Work Behavior Areas (Domains),Professional Practice and Ethics,CACREP Areas,Counseling and Helping Relationships
Seed Exam (11 Sections),Section 1: Foundations,Case Study for Section 1,Visit 1,Content for Section 1 Visit 1,Which immediate action should be taken?,1,Wait and see,Consult instantly,Begin assessment,Refuse service,C,Counselor Work Behavior Areas (Domains),Professional Practice and Ethics,CACREP Areas,Counseling and Helping Relationships
Seed Exam (11 Sections),Section 1: Foundations,Case Study for Section 1,Visit 1,Content for Section 1 Visit 1,What theory best applies to the initial observation?,1,CBT,Person-Centered,Gestalt,Adlerian,B,Counselor Work Behavior Areas (Domains),Professional Practice and Ethics,CACREP Areas,Counseling and Helping Relationships
Seed Exam (11 Sections),Section 1: Foundations,Case Study for Section 1,Visit 2,Content for Section 1 Visit 2,How should the counselor proceed in this visit?,1,Follow Protocol,Ask Supervisor,Defer to Client,None of the above,B,Counselor Work Behavior Areas (Domains),Intake Assessment and Diagnosis,CACREP Areas,Counseling and Helping Relationships
Seed Exam (11 Sections),Section 1: Foundations,Case Study for Section 1,Visit 2,Content for Section 1 Visit 2,What is the ethical boundary concern here?,1,Dual relationship,Confidentiality breach,Informed consent,Competence,A,Counselor Work Behavior Areas (Domains),Intake Assessment and Diagnosis,CACREP Areas,Counseling and Helping Relationships
Seed Exam (11 Sections),Section 1: Foundations,Case Study for Section 1,Visit 2,Content for Section 1 Visit 2,How does the client's non-verbal behavior influence the plan?,1,It contradicts words,It aligns with words,It is irrelevant,It suggests termination,A,Counselor Work Behavior Areas (Domains),Intake Assessment and Diagnosis,CACREP Areas,Counseling and Helping Relationships
Seed Exam (11 Sections),Section 1: Foundations,Case Study for Section 1,Visit 3,Content for Section 1 Visit 3,What is the final decision for this case?,1,Terminatetreatment,Continue session,Refer out,Increase frequency,C,Counselor Work Behavior Areas (Domains),Professional Practice and Ethics,CACREP Areas,Counseling and Helping Relationships
Seed Exam (11 Sections),Section 1: Foundations,Case Study for Section 1,Visit 3,Content for Section 1 Visit 3,How should termination be handled?,1,Abruptly,Fading out sessions,Wait for client to drop,Give a letter,B,Counselor Work Behavior Areas (Domains),Professional Practice and Ethics,CACREP Areas,Counseling and Helping Relationships
Seed Exam (11 Sections),Section 1: Foundations,Case Study for Section 1,Visit 3,Content for Section 1 Visit 3,What documentation is required for closure?,1,Summary report,None,Just a bill,A simple note,A,Counselor Work Behavior Areas (Domains),Professional Practice and Ethics,CACREP Areas,Counseling and Helping Relationships
"Seed Exam (11 Sections)","Section 2: Development","Case Study for Section 2","Visit 1","Content for Section 2 Visit 1","What developmental stage is the client in?",1,Childhood,Adolescence,Adulthood,Geriatric,B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Human Growth and Development"
"Seed Exam (11 Sections)","Section 2: Development","Case Study for Section 2","Visit 1","Content for Section 2 Visit 1","Follow-up Q1: What developmental stage is the client in?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Human Growth and Development"
"Seed Exam (11 Sections)","Section 2: Development","Case Study for Section 2","Visit 1","Content for Section 2 Visit 1","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Human Growth and Development"
"Seed Exam (11 Sections)","Section 2: Development","Case Study for Section 2","Visit 2","Content for Section 2 Visit 2","Which theorist applies to this visit?",1,Piaget,Erikson,Freud,Rogers,A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Human Growth and Development"
"Seed Exam (11 Sections)","Section 2: Development","Case Study for Section 2","Visit 2","Content for Section 2 Visit 2","Follow-up Q1: Which theorist applies to this visit?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Human Growth and Development"
"Seed Exam (11 Sections)","Section 2: Development","Case Study for Section 2","Visit 2","Content for Section 2 Visit 2","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Human Growth and Development"
"Seed Exam (11 Sections)","Section 2: Development","Case Study for Section 2","Visit 3","Content for Section 2 Visit 3","What intervention is best for this developmental stage?",1,"Play therapy","Talk therapy","Group work",CBT,A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Human Growth and Development"
"Seed Exam (11 Sections)","Section 2: Development","Case Study for Section 2","Visit 3","Content for Section 2 Visit 3","Follow-up Q1: What intervention is best for this developmental stage?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Human Growth and Development"
"Seed Exam (11 Sections)","Section 2: Development","Case Study for Section 2","Visit 3","Content for Section 2 Visit 3","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Human Growth and Development"
"Seed Exam (11 Sections)","Section 3: Ethics","Case Study for Section 3","Visit 1","Content for Section 3 Visit 1","What ethical code is relevant here?",1,ACA,NBCC,ASCA,"All of the above",D,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 3: Ethics","Case Study for Section 3","Visit 1","Content for Section 3 Visit 1","Follow-up Q1: What ethical code is relevant here?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 3: Ethics","Case Study for Section 3","Visit 1","Content for Section 3 Visit 1","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 3: Ethics","Case Study for Section 3","Visit 2","Content for Section 3 Visit 2","How to resolve this conflict of interest?",1,Proceed,Withdraw,"Consult Ethics Committee",Ignore,C,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 3: Ethics","Case Study for Section 3","Visit 2","Content for Section 3 Visit 2","Follow-up Q1: How to resolve this conflict of interest?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 3: Ethics","Case Study for Section 3","Visit 2","Content for Section 3 Visit 2","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 3: Ethics","Case Study for Section 3","Visit 3","Content for Section 3 Visit 3","What is the long-term ethical implication?",1,"No impact","Legal liability","Reputation loss","Both B and C",D,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 3: Ethics","Case Study for Section 3","Visit 3","Content for Section 3 Visit 3","Follow-up Q1: What is the long-term ethical implication?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 3: Ethics","Case Study for Section 3","Visit 3","Content for Section 3 Visit 3","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 4: Assessment","Case Study for Section 4","Visit 1","Content for Section 4 Visit 1","Which assessment tool should be used?",1,MMPI,"Beck Depression",MBTI,"Strong Interest",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Seed Exam (11 Sections)","Section 4: Assessment","Case Study for Section 4","Visit 1","Content for Section 4 Visit 1","Follow-up Q1: Which assessment tool should be used?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Seed Exam (11 Sections)","Section 4: Assessment","Case Study for Section 4","Visit 1","Content for Section 4 Visit 1","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Seed Exam (11 Sections)","Section 4: Assessment","Case Study for Section 4","Visit 2","Content for Section 4 Visit 2","How should results be interpreted?",1,Qualitatively,Quantitatively,Both,"Not at all",C,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Seed Exam (11 Sections)","Section 4: Assessment","Case Study for Section 4","Visit 2","Content for Section 4 Visit 2","Follow-up Q1: How should results be interpreted?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Seed Exam (11 Sections)","Section 4: Assessment","Case Study for Section 4","Visit 2","Content for Section 4 Visit 2","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Seed Exam (11 Sections)","Section 4: Assessment","Case Study for Section 4","Visit 3","Content for Section 4 Visit 3","Feedback should be given in which manner?",1,Coldly,Collaboratively,"By Mail","Not Given",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Seed Exam (11 Sections)","Section 4: Assessment","Case Study for Section 4","Visit 3","Content for Section 4 Visit 3","Follow-up Q1: Feedback should be given in which manner?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Seed Exam (11 Sections)","Section 4: Assessment","Case Study for Section 4","Visit 3","Content for Section 4 Visit 3","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Seed Exam (11 Sections)","Section 5: Career","Case Study for Section 5","Visit 1","Content for Section 5 Visit 1","Which career theory applies best?",1,Holland,Super,Krumboltz,Lent,A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Career Development"
"Seed Exam (11 Sections)","Section 5: Career","Case Study for Section 5","Visit 1","Content for Section 5 Visit 1","Follow-up Q1: Which career theory applies best?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Career Development"
"Seed Exam (11 Sections)","Section 5: Career","Case Study for Section 5","Visit 1","Content for Section 5 Visit 1","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Career Development"
"Seed Exam (11 Sections)","Section 5: Career","Case Study for Section 5","Visit 2","Content for Section 5 Visit 2","What is the client's RIASEC code?",1,SIR,AES,RIC,SIA,C,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Career Development"
"Seed Exam (11 Sections)","Section 5: Career","Case Study for Section 5","Visit 2","Content for Section 5 Visit 2","Follow-up Q1: What is the client's RIASEC code?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Career Development"
"Seed Exam (11 Sections)","Section 5: Career","Case Study for Section 5","Visit 2","Content for Section 5 Visit 2","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Career Development"
"Seed Exam (11 Sections)","Section 5: Career","Case Study for Section 5","Visit 3","Content for Section 5 Visit 3","What is the next step in career planning?",1,"Resumé Building","Interview Prep","Salary Negotiation","Life-Role Integration",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Career Development"
"Seed Exam (11 Sections)","Section 5: Career","Case Study for Section 5","Visit 3","Content for Section 5 Visit 3","Follow-up Q1: What is the next step in career planning?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Career Development"
"Seed Exam (11 Sections)","Section 5: Career","Case Study for Section 5","Visit 3","Content for Section 5 Visit 3","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Career Development"
"Seed Exam (11 Sections)","Section 6: Group Work","Case Study for Section 6","Visit 1","Content for Section 6 Visit 1","What stage of group development is this?",1,Forming,Storming,Norming,Performing,A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Group Counseling and Group Work"
"Seed Exam (11 Sections)","Section 6: Group Work","Case Study for Section 6","Visit 1","Content for Section 6 Visit 1","Follow-up Q1: What stage of group development is this?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Group Counseling and Group Work"
"Seed Exam (11 Sections)","Section 6: Group Work","Case Study for Section 6","Visit 1","Content for Section 6 Visit 1","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Group Counseling and Group Work"
"Seed Exam (11 Sections)","Section 6: Group Work","Case Study for Section 6","Visit 2","Content for Section 6 Visit 2","Who is the gatekeeper in this group?",1,Leader,"Member A","Member B","Member C",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Group Counseling and Group Work"
"Seed Exam (11 Sections)","Section 6: Group Work","Case Study for Section 6","Visit 2","Content for Section 6 Visit 2","Follow-up Q1: Who is the gatekeeper in this group?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Group Counseling and Group Work"
"Seed Exam (11 Sections)","Section 6: Group Work","Case Study for Section 6","Visit 2","Content for Section 6 Visit 2","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Group Counseling and Group Work"
"Seed Exam (11 Sections)","Section 6: Group Work","Case Study for Section 6","Visit 3","Content for Section 6 Visit 3","What is the termination strategy?",1,Abruptly,"Phased out",Celebration,"Individual sessions",C,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Group Counseling and Group Work"
"Seed Exam (11 Sections)","Section 6: Group Work","Case Study for Section 6","Visit 3","Content for Section 6 Visit 3","Follow-up Q1: What is the termination strategy?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Group Counseling and Group Work"
"Seed Exam (11 Sections)","Section 6: Group Work","Case Study for Section 6","Visit 3","Content for Section 6 Visit 3","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Group Counseling and Group Work"
"Seed Exam (11 Sections)","Section 7: Research","Case Study for Section 7","Visit 1","Content for Section 7 Visit 1","What research design is most appropriate?",1,Experimental,Correlational,"Case Study",Survey,A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Research and Program Evaluation"
"Seed Exam (11 Sections)","Section 7: Research","Case Study for Section 7","Visit 1","Content for Section 7 Visit 1","Follow-up Q1: What research design is most appropriate?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Research and Program Evaluation"
"Seed Exam (11 Sections)","Section 7: Research","Case Study for Section 7","Visit 1","Content for Section 7 Visit 1","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Research and Program Evaluation"
"Seed Exam (11 Sections)","Section 7: Research","Case Study for Section 7","Visit 2","Content for Section 7 Visit 2","Is this result significant?",1,"p < 0.05","p > 0.05","p = 1.0","Not applicable",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Research and Program Evaluation"
"Seed Exam (11 Sections)","Section 7: Research","Case Study for Section 7","Visit 2","Content for Section 7 Visit 2","Follow-up Q1: Is this result significant?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Research and Program Evaluation"
"Seed Exam (11 Sections)","Section 7: Research","Case Study for Section 7","Visit 2","Content for Section 7 Visit 2","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Research and Program Evaluation"
"Seed Exam (11 Sections)","Section 7: Research","Case Study for Section 7","Visit 3","Content for Section 7 Visit 3","What is the ethical requirement for research?",1,"Informed Consent",Payment,Anonymity,"Both A and C",D,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Research and Program Evaluation"
"Seed Exam (11 Sections)","Section 7: Research","Case Study for Section 7","Visit 3","Content for Section 7 Visit 3","Follow-up Q1: What is the ethical requirement for research?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Research and Program Evaluation"
